customer_id,product_id,purchase_count
1,426,1
1,468,2
2,541,1
2,1046,1
3,132,1
4,393,3
4,409,1
4,962,1
5,198,1
5,250,1
5,507,1
5,824,1
6,211,1
6,273,1
6,511,1
6,827,1
6,1070,2
6,1126,1
7,391,1
7,881,1
8,249,4
9,37,1
10,214,1
10,226,1
10,335,1
10,444,1
10,662,1
10,887,1
10,1065,1
12,51,3
12,862,3
14,224,1
14,311,1
14,350,1
14,1155,1
15,1041,1
15,1099,1
16,84,4
17,273,1
17,313,1
17,634,4
17,786,2
17,950,1
18,10,1
18,716,1
18,759,3
18,817,1
18,875,1
18,903,3
18,913,3
18,1120,1
19,385,1
19,465,1
19,538,1
19,608,1
19,1021,1
19,1137,3
20,559,1
20,612,1
20,627,1
20,705,1
20,914,1
20,997,2
22,40,1
22,1179,1
23,262,1
23,308,1
25,19,1
25,27,1
25,289,1
26,369,1
27,668,1
27,669,1
27,1177,2
28,817,1
29,938,1
30,243,2
30,279,1
30,370,1
30,479,2
31,93,1
31,502,1
32,183,1
34,203,1
34,327,1
34,691,1
34,903,1
34,1012,4
34,1084,1
34,1120,1
34,1171,1
35,176,1
35,231,1
35,457,1
35,548,1
35,753,4
35,879,1
36,601,1
36,908,1
36,1055,4
36,1065,1
37,74,1
37,219,1
37,1047,3
37,1062,1
37,1165,1
39,392,1
39,716,1
39,747,1
39,819,1
39,956,1
40,123,1
40,293,1
40,562,1
40,595,1
40,601,3
40,642,1
40,775,1
40,917,1
40,927,1
40,982,1
40,1021,1
40,1025,1
40,1059,1
42,871,1
42,886,1
43,25,1
43,72,1
43,418,1
43,504,1
43,857,1
45,347,1
45,395,1
45,1092,3
45,1099,1
45,1126,1
46,287,1
46,987,1
48,700,1
48,808,1
48,852,1
48,1128,1
48,1187,1
49,36,3
49,295,1
49,427,1
49,532,1
49,603,1
49,923,1
50,723,1
51,293,1
51,457,1
51,733,1
51,804,1
51,942,1
51,949,1
51,1096,2
52,951,1
52,1028,1
52,1049,1
52,1060,1
52,1133,1
52,1176,1
54,400,1
54,708,1
54,966,1
54,992,1
55,702,1
55,830,1
55,884,2
56,552,1
56,743,1
56,932,1
56,1031,1
56,1033,1
56,1065,1
57,323,1
58,250,1
58,444,1
58,522,1
58,867,1
58,1035,1
59,289,3
59,980,1
59,1025,1
60,404,4
60,699,1
60,867,1
61,142,1
61,228,1
61,365,1
61,609,1
61,874,1
61,1011,1
62,346,1
62,360,1
62,427,1
62,715,1
62,1009,1
63,689,1
63,822,1
64,993,1
65,300,1
65,575,1
66,44,1
66,437,1
66,1173,1
68,944,1
68,993,2
68,1034,1
68,1082,1
68,1194,1
69,372,1
69,463,4
69,625,1
69,960,1
69,989,1
70,216,1
70,1019,1
70,1116,1
72,868,1
72,1096,1
72,1124,2
72,1181,1
73,457,1
73,710,1
73,751,1
73,758,1
73,776,1
74,449,1
74,607,1
74,827,1
74,840,1
74,884,1
74,914,1
74,1092,3
74,1097,1
75,5,1
75,21,1
75,65,1
75,555,3
76,280,2
76,376,1
76,504,1
76,790,1
78,498,1
78,548,1
78,568,1
78,653,1
79,46,1
79,215,1
79,264,1
79,428,1
79,489,1
79,491,1
80,210,1
80,280,1
80,423,1
80,895,1
80,956,1
80,1045,1
81,322,1
81,448,1
81,888,1
81,891,1
81,903,4
81,906,1
81,922,1
81,973,1
82,985,1
85,183,1
86,215,1
86,243,1
86,312,4
91,79,1
91,201,1
91,249,1
91,521,1
91,581,1
91,881,1
91,1162,1
92,357,1
92,601,1
92,851,1
92,905,2
92,948,2
92,962,1
92,1041,1
92,1153,1
93,481,1
93,1158,1
94,290,1
94,595,1
95,346,1
95,528,1
95,716,1
95,817,1
95,1102,1
97,550,1
97,883,1
97,1057,1
98,1055,2
99,115,1
99,394,1
99,399,3
99,426,1
99,866,1
99,877,1
99,944,1
99,979,1
99,1150,1
100,479,1
100,496,1
100,865,1
100,879,1
100,979,1
100,989,3
100,993,1
100,1130,1
101,362,1
101,388,1
101,408,1
101,412,1
101,449,1
101,478,1
101,485,2
101,492,1
101,637,1
101,1182,1
102,353,1
102,359,1
102,478,1
102,815,1
102,832,1
102,1063,1
103,678,1
104,231,1
104,1130,1
104,1184,1
104,1187,1
105,335,1
105,380,1
105,926,1
105,1032,3
106,1018,1
106,1172,1
106,1189,1
107,189,1
107,609,1
107,664,1
107,767,3
107,776,1
107,1099,1
108,383,1
108,432,1
108,979,1
108,980,1
108,1050,1
108,1052,4
109,49,4
110,918,1
112,1129,1
113,208,1
114,227,1
117,385,1
117,388,3
117,406,2
117,414,1
117,423,1
117,499,1
117,573,3
117,662,1
117,1111,1
117,1113,1
118,300,1
118,376,1
118,510,2
118,939,1
118,977,4
120,677,1
120,893,1
120,921,1
120,1000,1
120,1002,1
120,1147,1
121,822,1
121,850,3
123,239,1
123,969,1
123,1054,2
124,115,1
124,454,1
127,424,1
127,662,4
127,1037,1
127,1193,4
128,503,1
128,897,1
128,981,4
128,1112,1
129,235,1
129,294,1
129,495,1
129,1141,1
130,925,1
130,954,1
130,1120,1
133,1035,1
133,1123,1
134,242,1
134,288,2
135,869,1
138,1181,1
140,659,1
141,320,1
141,622,1
141,867,2
141,914,3
141,928,1
141,951,1
141,972,1
141,1007,1
141,1138,1
142,95,1
142,366,1
142,384,1
142,418,1
142,474,1
142,478,1
142,502,1
143,183,1
143,262,1
143,500,1
143,594,1
143,992,1
144,276,1
144,1059,1
146,336,1
146,409,1
146,504,3
146,850,3
146,985,1
146,1098,1
147,197,1
147,468,4
147,761,1
147,1036,1
147,1121,3
147,1122,2
148,243,1
148,293,2
149,239,3
149,460,1
150,616,1
150,863,1
151,65,1
151,1054,1
152,389,1
152,984,1
152,1059,1
152,1107,1
154,107,1
154,839,1
154,951,1
154,1029,1
154,1036,1
155,862,1
156,908,4
156,995,1
157,592,2
158,653,1
160,591,1
160,955,1
160,981,1
160,1066,1
160,1195,1
161,9,3
161,87,3
161,1183,1
162,361,1
162,386,1
162,452,1
162,856,1
163,258,2
163,754,1
164,342,1
164,923,1
164,971,1
164,1138,1
165,563,1
165,673,1
165,792,1
165,904,1
165,993,1
165,1096,1
165,1115,2
165,1119,1
165,1193,1
166,24,1
166,425,1
166,642,2
166,678,1
167,23,1
167,909,1
167,1154,1
169,27,1
169,74,1
169,121,1
169,1028,1
171,123,1
171,686,1
171,864,1
172,36,4
172,142,1
172,510,1
172,713,1
172,892,1
172,1112,1
173,174,1
173,238,1
173,288,1
173,412,1
173,415,1
173,514,1
173,771,1
173,885,1
173,1016,1
173,1150,1
174,203,1
174,284,1
174,531,1
174,552,1
174,655,1
175,103,1
175,154,1
175,208,1
175,404,1
175,491,1
175,734,1
175,748,2
175,861,1
175,991,1
175,1054,1
175,1180,1
176,670,3
177,354,1
177,968,3
178,121,1
178,941,1
179,472,1
179,741,1
179,1022,3
180,93,1
181,381,4
181,385,2
181,389,1
181,414,1
181,463,1
181,504,1
181,574,1
181,612,1
181,643,1
182,247,1
182,291,1
183,226,1
183,428,4
183,864,1
184,242,1
185,40,1
185,83,1
185,198,1
185,407,1
185,443,1
185,736,1
186,770,4
186,875,1
187,806,1
187,846,1
187,874,1
187,1028,1
187,1108,1
187,1142,1
187,1178,1
188,197,1
188,208,2
188,224,1
188,659,1
188,678,1
189,487,1
189,578,1
189,664,1
189,764,1
189,796,1
190,652,1
191,289,2
192,578,1
193,300,1
193,900,4
193,909,4
193,942,1
193,958,1
193,1119,3
194,405,1
194,1155,1
196,220,1
196,542,1
196,1121,1
197,846,1
197,870,1
197,875,1
198,185,4
199,479,1
199,1057,3
200,121,1
200,403,1
200,1056,1
201,326,1
202,571,4
202,782,1
203,392,1
203,990,1
204,808,1
204,898,1
205,190,1
205,404,1
205,703,1
205,1077,1
206,40,1
206,142,2
206,860,1
207,10,3
207,618,1
208,207,1
208,866,1
208,930,1
208,941,2
208,973,1
209,346,4
209,740,1
210,593,3
210,1135,1
211,491,1
211,737,1
211,893,1
211,917,1
212,778,1
212,890,1
214,858,1
214,894,1
214,897,1
214,1025,1
214,1108,1
214,1134,4
214,1170,4
215,417,1
215,636,1
215,847,1
216,108,1
216,630,1
216,967,1
218,156,1
218,370,1
218,574,1
219,1114,1
219,1173,1
221,985,1
222,877,1
222,914,4
222,1012,1
223,472,1
223,662,1
223,873,1
223,933,1
223,943,1
223,1128,1
223,1157,1
224,465,1
225,479,1
225,501,1
225,796,1
226,826,1
226,839,1
226,905,2
226,929,1
226,1001,1
226,1005,1
227,821,1
228,684,1
228,765,1
228,983,1
228,1115,1
228,1195,1
229,920,3
231,1192,1
233,142,2
233,271,1
233,275,1
234,958,1
235,590,1
235,1028,1
236,234,4
236,313,1
236,673,1
236,859,1
236,950,1
236,1153,1
237,51,1
237,737,3
237,824,1
237,859,2
237,868,1
237,883,1
237,1080,1
237,1097,1
238,27,1
238,416,1
238,736,1
238,792,3
239,11,2
239,792,1
240,443,1
240,972,1
240,1023,1
241,865,1
241,883,1
243,495,3
244,525,1
246,308,1
246,568,1
246,976,1
247,103,1
248,457,1
248,460,1
248,1127,1
250,273,1
250,281,1
250,683,1
250,711,1
250,861,1
250,947,1
250,1022,1
251,148,1
251,1068,1
253,386,1
253,648,4
253,801,1
253,900,1
253,987,1
253,1074,1
254,367,1
254,462,1
254,464,1
254,602,1
254,879,1
254,907,1
254,938,1
254,1004,4
254,1010,1
254,1157,1
254,1176,1
255,818,1
255,857,1
255,940,1
255,1122,1
256,236,1
257,38,1
257,347,1
257,511,1
257,738,1
257,1170,1
258,878,1
258,1112,1
259,276,1
261,518,4
261,912,1
262,702,4
262,1083,1
262,1151,1
262,1170,1
263,412,1
263,671,1
263,1151,1
264,424,1
264,618,1
264,665,4
264,818,1
264,850,1
264,1092,1
265,623,1
265,707,4
265,787,2
265,903,4
265,910,3
265,934,1
265,1063,1
